"Name","Window","n_neighbors","weights","rmse_KNN","mae_KNN","Energy_Consumed"
"deep-sweep-5","2","5","uniform","6.19324782782596","4.564042903225808","8.520947645441386e-9"
"serene-sweep-7","2","7","uniform","5.976347257115064","4.545919585253459","4.2594499164907684e-9"
"vivid-sweep-4","2","3","distance","6.163396692472628","4.755397969023143","1.2900194590833456e-8"
"golden-sweep-9","2","9","uniform","6.053857804162624","4.630791577060932","7.0219489248302135e-9"
"frosty-sweep-8","2","7","distance","6.087495633680782","4.642069432844127","1.2621692096293677e-8"
"soft-sweep-14","2","15","distance","5.91058896230322","4.525599971810156","7.393626886293229e-9"
"cosmic-sweep-10","2","9","distance","6.078089451288661","4.641670440861753","4.3075735092972745e-9"
"prime-sweep-12","2","11","distance","6.011787618099396","4.601262830603112","1.8394475420614577e-8"
"valiant-sweep-2","2","2","distance","6.61977095619506","4.945628809657393","3.441963182518116e-8"
"whole-sweep-1","2","2","uniform","6.273622662633199","4.670273387096775","4.14067679381939e-9"
"icy-sweep-3","2","3","uniform","5.7900709865495745","4.472801075268818","1.2238751166301476e-8"
"devoted-sweep-13","2","15","uniform","5.795146373072634","4.416217526881718","4.126342106600431e-9"
"wobbly-sweep-11","2","11","uniform","5.965872664278347","4.604890175953079","4.1478441374288715e-9"
"ruby-sweep-6","2","5","distance","6.241671250047453","4.678277660725494","2.42757928053076e-8"
"vague-sweep-27","3","15","uniform","5.7022585244939075","4.382540430107527","1.2962652870858922e-8"
"clean-sweep-24","3","9","distance","5.225694588349134","3.788645948875278","8.578286394317226e-9"
"upbeat-sweep-15","3","2","uniform","5.604413189919777","4.102031451612903","1.1391148082490568e-8"
"dandy-sweep-23","3","9","uniform","5.2841953572514875","3.8407370967741943","2.7415089306259687e-8"
"revived-sweep-28","3","15","distance","5.499467573209888","4.105251766230418","6.634912369918311e-9"
"solar-sweep-19","3","5","uniform","4.897162164278278","3.711710967741935","4.2549451900413275e-8"
"pretty-sweep-22","3","7","distance","5.03399912445213","3.663342818617384","3.3498935343232005e-7"
"polar-sweep-25","3","11","uniform","5.403321308682531","4.000977712609971","8.442106865737112e-9"
"faithful-sweep-26","3","11","distance","5.280649590440248","3.86233477870174","8.720609360276891e-9"
"fanciful-sweep-16","3","2","distance","5.974863008756519","4.329398942317723","8.478967490014433e-9"
"rare-sweep-18","3","3","distance","5.214533056556694","3.8637882385393154","1.4520559682043516e-7"
"stellar-sweep-21","3","7","uniform","5.011466108742867","3.608808294930877","4.433513975578131e-9"
"curious-sweep-20","3","5","distance","5.025649596494153","3.800018565251019","4.7362408150522455e-8"
"polished-sweep-17","3","3","uniform","4.866467336559007","3.655359677419356","7.380316105304195e-9"
"helpful-sweep-31","4","3","uniform","4.008858981738562","3.079602688172042","3.852959143210278e-9"
"upbeat-sweep-29","4","2","uniform","4.138271336058907","3.206936290322579","4.161154918417903e-9"
"true-sweep-34","4","5","distance","4.011312969523435","3.040668051764265","5.925345352579825e-8"
"stilted-sweep-41","4","15","uniform","4.745997868826768","3.4645753763440856","4.1509158561186474e-9"
"vivid-sweep-40","4","11","distance","4.446624954825459","3.2511294313932986","8.199705673632706e-9"
"lively-sweep-42","4","15","distance","4.457756718298801","3.141777608908339","1.3517610047478632e-8"
"worthy-sweep-38","4","9","distance","4.283386647666675","3.117149054634221","8.589549362846407e-9"
"sleek-sweep-32","4","3","distance","3.959575087164678","3.045749197666838","8.077910729045674e-9"
"kind-sweep-37","4","9","uniform","4.494604818957302","3.26828924731183","6.268353939604923e-9"
"breezy-sweep-39","4","11","uniform","4.710823213935531","3.4337099706744874","8.59569280022596e-9"
"dutiful-sweep-35","4","7","uniform","4.2284771401786205","3.154056912442396","4.837956936398768e-9"
