"Name","Window","Factor","Threshold","Init","rmse_TEDA_pond","rmse_TEDA_stack","rmse_TEDA_major","mae_TEDA_pond","mae_TEDA_stack","mae_TEDA_major","Energy_Consumed"
"lemon-sweep-386","2","0.99","2","zero","5.143705328086772","9.5508638400489","5.0111789418077946","26.457704502188243","91.21900009115366","25.11191438681789","3.0949613611963095e-8"
"visionary-sweep-141","2","0.75","2.3","Xavier","3.7660630050814143","3.7660630050814135","3.7660630050814135","14.183230558242853","14.183230558242846","14.183230558242846","3.2529500924738393e-8"
"pleasant-sweep-131","2","0.75","1.8","Xavier","3.770246796607208","4.659151253136803","3.795356724958153","14.214760907326916","21.70769039960624","14.404732669685076","3.015506237754077e-8"
"super-sweep-441","2","1","2.3","Xavier","3.869616670934059","3.869616670934059","3.869616670934059","14.97393317997079","14.97393317997079","14.97393317997079","3.9925175623491464e-8"
"giddy-sweep-156","2","0.75","1.8","Yoshua","3.9158155610709007","3.7852585155016025","3.971237870155067","15.333611508325014","14.328182029177396","15.770730221353755","2.7770384768043892e-8"
"dazzling-sweep-201","2","0.98","1.5","He","3.3371333826052827","8.839964046270612","3.396759650166988","11.136459213298576","78.14496433935709","11.53797612100256","6.123868745046619e-8"
"eager-sweep-116","2","0.75","2.3","He","3.3875936692887674","3.3875936692887674","3.3875936692887674","11.475790868205332","11.475790868205332","11.475790868205332","2.33143448554074e-8"
"cosmic-sweep-446","2","1","3","Xavier","3.869616670934059","3.869616670934059","3.869616670934059","14.97393317997079","14.97393317997079","14.97393317997079","2.5762504651159663e-8"
"exalted-sweep-436","2","1","2","Xavier","3.807938549535435","4.020543682084419","3.8758581669025416","14.500395997038034","16.16477149954894","15.02227652994513","3.7661318949125826e-8"
"desert-sweep-486","2","1","2","zero","5.156915578812929","9.560291098465449","5.0239112303602225","26.59377828700348","91.39916588739769","25.23968405053956","4.089788654192085e-8"
"quiet-sweep-1","2","0.5","1.5","He","4.731406710482635","9.631702775715691","4.8321016497333975","22.386209460000103","92.76969835972936","23.349206353356223","1.0425310842480133e-7"
"glowing-sweep-81","2","0.5","1.8","zero","5.468239824345843","11.24054979891351","5.694576834821257","29.901646776561854","126.34995978185454","32.42820532768289","3.269332592152649e-8"
"flowing-sweep-51","2","0.5","1.5","Yoshua","4.884979338722284","4.764580120475311","5.08467998306574","23.863023139743603","22.701223724428527","25.85397053018942","7.456594253944281e-8"
"kind-sweep-86","2","0.5","2","zero","5.435183942817234","9.27955675481108","5.50366419983596","29.541224492258294","86.11017356575991","30.290319624555995","4.0469893737811927e-8"
"whole-sweep-426","2","1","1.5","Xavier","3.825710299927045","4.589390297125901","3.884236814448827","14.636059298967876","21.062503299353367","15.087295630719575","4.7571325066731635e-8"
"vivid-sweep-36","2","0.5","2","Xavier","4.886519870553412","5.081414780485344","4.927311199933973","23.87807644531334","25.820776171334916","24.278395660994768","3.0054719567008063e-8"
"usual-sweep-336","2","0.99","2","Xavier","3.79680318124374","4.012510961648258","3.8638718710729862","14.41571439710258","16.100244217347424","14.92950583606906","2.8990880994115288e-8"
"stellar-sweep-421","2","1","3","He","3.40423810713613","3.40423810713613","3.40423810713613","11.588837090077782","11.588837090077782","11.588837090077782","3.008646066013575e-8"
"apricot-sweep-56","2","0.5","1.8","Yoshua","5.122694669015253","4.798596442150569","5.204167727589768","26.24200067195729","23.026527814620103","27.08336173688685","4.2404948063929426e-8"
"eternal-sweep-266","2","0.98","2.3","Yoshua","4.053982706464396","4.053982706464396","4.053982706464396","16.43477578431239","16.43477578431239","16.43477578431239","3.016325362738017e-8"
"earnest-sweep-276","2","0.98","1.5","zero","5.25719887186763","13.217882303409294","4.998803913287681","27.638139978366283","174.71241258678057","24.988040563500235","1.9230085294856913e-7"
"ancient-sweep-226","2","0.98","1.5","Xavier","3.8031712654184098","4.579000483518389","3.859379228896173","14.464111674104265","20.96724542806164","14.894808032435217","4.5124571459053993e-8"
"zesty-sweep-71","2","0.5","3","Yoshua","4.943929285150359","4.94392928515036","4.94392928515036","24.442436776567344","24.44243677656735","24.44243677656735","2.4105824371139938e-8"
"misunderstood-sweep-366","2","0.99","2.3","Yoshua","4.066352855724516","4.066352855724516","4.066352855724516","16.53522554725893","16.53522554725893","16.53522554725893","4.1070926694778286e-8"
"decent-sweep-11","2","0.5","2","He","4.833430187319567","7.529998210976364","4.770460746478487","23.362047375692065","56.70087305730725","22.75729573369208","3.00526717545482e-8"
"sweepy-sweep-461","2","1","2","Yoshua","4.03535128928157","3.962483849821449","4.084804562070053","16.284060027906428","15.701278260095808","16.685628310308314","4.6043015347297325e-8"
"wandering-sweep-306","2","0.99","1.8","He","3.3818485950808452","8.839148257376912","3.4074718355823577","11.436899920050283","78.13054191588931","11.610864310287004","3.8234706437884194e-8"
"atomic-sweep-191","2","0.75","2.3","zero","4.793459100439414","4.7934591004394145","4.7934591004394145","22.977250147585433","22.97725014758544","22.97725014758544","2.591711449187844e-8"
"effortless-sweep-321","2","0.99","3","He","3.3935290353844154","3.3935290353844154","3.3935290353844154","11.516039313997082","11.516039313997082","11.516039313997082","4.254432775964133e-8"
"major-sweep-281","2","0.98","1.8","zero","5.12187487545932","11.956269610529546","5.00817105141822","26.233602239861423","142.95238299967232","25.081777280263477","3.8359622997935135e-8"
"winter-sweep-26","2","0.5","1.5","Xavier","4.809415373437863","5.3435654074246735","4.9969599828015445","23.130476234260463","28.553691263425616","24.96960906972001","6.96798906651313e-8"
"rosy-sweep-121","2","0.75","3","He","3.3875936692887674","3.3875936692887674","3.3875936692887674","11.475790868205332","11.475790868205332","11.475790868205332","2.5920186210568218e-8"
"denim-sweep-301","2","0.99","1.5","He","3.3469744426363066","8.840579700552826","3.408527365541864","11.202237919660616","78.1558494418267","11.618058801647758","8.267633244157779e-8"
"balmy-sweep-106","2","0.75","1.8","He","3.536274612378417","9.163817889428795","3.4211576465103457","12.50523813415212","83.97555831061526","11.704319642276207","3.81835111263879e-8"
"lyric-sweep-171","2","0.75","3","Yoshua","3.9443340900944666","3.944334090094467","3.944334090094467","15.557771414281342","15.557771414281346","15.557771414281346","3.145743566632417e-8"
"dauntless-sweep-181","2","0.75","1.8","zero","4.796145531458175","11.485242887916357","4.807470344472631","23.003011958926223","131.91080419443324","23.1117711129838","3.0273835500212145e-8"
