"Name","Window","LearningRate","MaxDepth","MinChildWeight","Gamma","rmse_XGB","mae_XGB","Energy_Consumed"
"charmed-sweep-396","2","0.1","7","4","1","7.549688291171183","5.721840584047378","1.6897048578433292e-8"
"dauntless-sweep-406","2","1","1","2","1","7.191102911658445","5.568731551828692","1.2791660530461337e-8"
"peach-sweep-41","2","0.01","5","1","0","40.82765118809581","40.00199859884939","8.58852545661648e-9"
"firm-sweep-456","2","1","5","4","1","8.692209707771982","6.127859076912171","1.2302488085475084e-8"
"rosy-sweep-271","2","0.01","3","3","1","40.82765118809581","40.00199859884939","1.2846999192485482e-8"
"cosmic-sweep-436","2","1","3","4","1","8.5996925906943","6.306475645397557","1.1517428614145803e-8"
"true-sweep-21","2","0.01","3","1","0","40.82765118809581","40.00199859884939","1.2959581152169143e-8"
"blooming-sweep-411","2","1","1","3","1","7.191102911658445","5.568731551828692","1.2877668653775093e-8"
"warm-sweep-331","2","0.1","1","3","1","7.698260490682792","6.1238644369802175","1.2433293349987354e-8"
"peach-sweep-101","2","0.1","3","1","0","6.775323734860546","5.108858787290511","1.2890979434764128e-8"
"eternal-sweep-221","2","1","7","1","0","8.79755386666431","6.20927844592679","1.2847975373107249e-8"
"earthy-sweep-196","2","1","3","4","0","8.578440394101706","6.302521970293599","1.1300853059689569e-8"
"driven-sweep-326","2","0.1","1","2","1","7.698260490682792","6.1238644369802175","1.2833640685888291e-8"
"lemon-sweep-141","2","0.1","7","1","0","8.125417118590354","5.854340706314578","1.6771782101538216e-8"
"fanciful-sweep-126","2","0.1","5","2","0","7.602808736663753","5.605475521358366","1.2971868026928252e-8"
"iconic-sweep-301","2","0.01","7","1","1","40.82765118809581","40.00199859884939","1.2589515114440371e-8"
"fragrant-sweep-321","2","0.1","1","1","1","7.698260490682792","6.1238644369802175","1.4685434534840167e-8"
"ruby-sweep-211","2","1","5","3","0","7.981950744047473","6.029789917976624","2.1468241922851424e-8"
"floral-sweep-371","2","0.1","5","3","1","7.356751863457574","5.5083319137081","1.2714867563216912e-8"
"ruby-sweep-231","2","1","7","3","0","8.614755038061167","6.103305419724986","1.536780860495431e-8"
"deep-sweep-386","2","0.1","7","2","1","7.786320022397792","5.631880424253401","1.3400884737267109e-8"
"desert-sweep-441","2","1","5","1","1","9.131541502476182","6.305468710819368","1.2680054751399441e-8"
"swift-sweep-166","2","1","1","2","0","7.191102911658445","5.568731551828692","6.86907972470231e-8"
"sage-sweep-26","2","0.01","3","2","0","40.82765118809581","40.00199859884939","1.2823401623589033e-8"
